Song_title,Artist,genre,release_date,topic,len
the little man who wasn't there,glenn miller,jazz,1991,sadness,59
american psycho,misfits,rock,1997,violence,95
somebody that i used to know,elliott smith,pop,2000,sadness,33
juke box blues,june carter cash,country,1952,music,75
"karn evil 9 1st impression, pt. 1","emerson, lake & palmer",jazz,1973,violence,95
another love song,queens of the stone age,blues,2002,music,70
immortal,adema,rock,2002,violence,50
stop! in the name of love,the supremes,pop,1965,sadness,84
bewildered,the notting hillbillies,country,1990,sadness,41
hyper,sticky fingers,reggae,2019,obscene,132
walk on by,diana krall,jazz,2009,sadness,62
dig,mudvayne,rock,2000,violence,37
love it if we made it,the 1975,pop,2018,violence,80
listen to your heart,little river band,country,1990,sadness,85
i'll drown in my tears,johnny winter,blues,1969,sadness,71
please don't tell me how the story ends,freddy fender,pop,1975,world/life,31
love me tomorrow,boz scaggs,pop,1976,night/time,40
build your nest,"earth, wind & fire",jazz,1973,violence,44
o holy night,nat king cole,jazz,1962,night/time,50
america (feat. p.o.d.),santana,blues,2002,world/life,65
for you for me for evermore,ella fitzgerald,blues,1959,world/life,33
blue and sentimental,julian dash,jazz,1987,sadness,47
powaful impak!,black moon,hip hop,2014,obscene,175
when i had you with me,the beautiful girls,reggae,2005,night/time,38
rich game,gucci mane,pop,2019,obscene,172
before the storm,jonas brothers,pop,2009,sadness,69
99 year blues,hot tuna,country,1972,obscene,35
can't cash my checks,jamey johnson,country,2010,obscene,58
tennessee flat top box,rosanne cash,country,1979,music,65
feel something,jaymes young,rock,2017,feelings,25
cold blows the wind,ween,rock,1997,violence,92
hold on,michael bublé,pop,2009,romantic,60
sweet savannah sue,louis armstrong,jazz,1955,romantic,34
i was drunk,alejandro escovedo,country,1999,music,46
follow me,muse,rock,2012,violence,43
kill the medicine man,ron gallo,blues,2017,violence,39
i could believe anything,david lee murphy,country,1997,obscene,64
i don't hurt anymore,hank locklin,country,1965,sadness,25
runaway,half•alive,rock,2019,sadness,84
it'll be her,waylon jennings,country,1974,romantic,18
version,clinton fearon,reggae,1974,world/life,85
siberian breaks,mgmt,rock,2010,violence,178
don't need no horse,little walter,blues,1993,world/life,121
i feel the same,bonnie raitt,pop,1973,sadness,40
dead on arrival,billy idol,pop,1982,violence,59
spirits will collide,devin townsend,jazz,2019,world/life,52
putty in your hands,the shirelles,pop,1962,obscene,96
just say goodbye,esther phillips,blues,2005,romantic,44
i'm one,the who,rock,1973,sadness,35
waking the demon,bullet for my valentine,pop,2008,violence,84
no more hot dogs,hasil adkins,blues,2002,violence,57
changes,langhorne slim,pop,2015,world/life,47
it's great to be alive,johnny mercer,jazz,1991,violence,98
pavane,regina carter,jazz,2003,violence,73
on trial,haystak,country,2000,obscene,177
i woke up in love this morning,david cassidy,pop,1974,feelings,68
isolation,joe cocker,blues,1987,world/life,35
you're nobody til somebody loves you,sam cooke,pop,1960,world/life,32
away from me,puddle of mudd,pop,2003,sadness,77
disguise,dirty heads,reggae,2012,world/life,127
soul stripper,ac/dc,rock,1984,sadness,55
modern man,bad religion,pop,1990,world/life,60
me and jesus (extra special bonus track),brad paisley,country,2014,violence,97
high tide or low tide,bob marley & the wailers,reggae,1973,night/time,49
butt ugly slut,roger alan wade,country,2005,violence,130
no easy way down,dusty springfield,pop,1969,sadness,41
black is the color of my true love's hair,nina simone,blues,1959,violence,41
beetlebum,blur,pop,1997,sadness,43
honest opinion,alpha & omega,reggae,1988,obscene,171
till the walls come tumblin' down,the j. geils band,pop,1980,violence,57
my favorite ladies,mf doom,hip hop,2016,obscene,61
the song is ended (but the melody lingers on),nat king cole,jazz,1957,music,48
champ,govana,reggae,2018,world/life,135
i'll thank you all my life,jean shepard,country,1956,world/life,59
redeemer,nicole c. mullen,rock,2000,world/life,107
roll call,hank mobley,jazz,1960,obscene,167
tom traubert's blues (four sheets to the wind in copenhagen),tom waits,rock,1976,violence,108
dallas days and fort worth nights,chris ledoux,country,1999,world/life,111
early in the morning,vanity fare,pop,1970,feelings,79
speak your heart,lizz wright,jazz,2008,sadness,54
hangover heart,hank thompson,country,1966,sadness,54
smile,neil sedaka,pop,1960,sadness,35
a legend in my time,johnny cash,country,2006,world/life,27
uptight,green day,pop,1997,night/time,61
mexican blood,thin lizzy,blues,1981,violence,107
"love me, my love",dean martin,jazz,1960,romantic,28
eleanor,louis prima,blues,1951,sadness,51
the hot pearl snatch,the cramps,blues,1986,obscene,52
c,thee oh sees,blues,2018,violence,47
disconnected,rjd2,jazz,2006,obscene,190
promises,macka b,reggae,1993,obscene,190
magnum opus: father padilla meets the perfect gnat / howling at the moon / man overboard / industry on parade / release the beavers / gnat attack,kansas,pop,1976,world/life,29
seattle party,chastity belt,pop,2013,night/time,41
my way,elvis presley,rock,1973,world/life,52
when you touch me,the guess who,country,1968,violence,72
o.p.p. (re-recorded),naughty by nature,hip hop,2013,obscene,59
selling out,ballyhoo!,reggae,2018,obscene,89
mandolin rain,bruce hornsby,pop,1986,music,142
don't change,simplified,reggae,2006,obscene,175
(rock) superstar,cypress hill,rock,2000,obscene,106
ready for the taking,robin trower,blues,1980,sadness,115
join the band,little feat,country,1978,music,34
diary of a madman,ozzy osbourne,rock,1981,violence,56
mystery babylon,peter tosh,reggae,1976,music,68
shot from the saddle,delbert mcclinton,blues,1999,violence,56
waste,phish,pop,1996,night/time,83
let's fall in love,nancy sinatra,pop,1967,sadness,28
busted,charley pride,country,1966,obscene,53
what you won't do for love,phyllis hyman,jazz,1986,world/life,28
come with me,rick braun,jazz,2019,obscene,97
smokin',slave,jazz,1981,obscene,107
dream,love,pop,1969,romantic,108
steer me right,the neville brothers,blues,1990,night/time,58
kill again,slayer,rock,1985,violence,72
stax jam,galactic,blues,1996,obscene,76
catch my drift,leroyce,jazz,2017,obscene,151
just you just me,ella fitzgerald,blues,1958,romantic,43
fucker,the brian jonestown massacre,blues,1996,obscene,29
stop trying to be god,travis scott,pop,2018,obscene,178
funnybones & lazylegs,xploding plastix,jazz,2002,obscene,23
loving you beats all i ever seen,johnny paycheck,country,1971,violence,46
shooting hoops,g. love & special sauce,reggae,1994,obscene,102
"party shot (ravin, pt. 2)",popcaan,reggae,2012,violence,72
free as a bird,soom t,reggae,2016,obscene,139
roads girdle the globe,xtc,pop,1979,sadness,110
i changed my mind,keyshia cole,pop,2005,obscene,123
them that got,maceo parker,jazz,1990,obscene,159
here in heaven,sparks,pop,1974,violence,60
go away,strawberry switchblade,pop,1985,sadness,72
"soul sacrifice / head, hands & feet",santana,blues,1977,violence,11
never be like you (feat. kai),flume,pop,2016,violence,142
high hopes,pink floyd,rock,1994,world/life,41
death to everyone,"bonnie ""prince"" billy",country,1998,violence,90
five magics,megadeth,rock,1990,world/life,75
i'll never fall in love again,mary chapin carpenter,country,1997,sadness,37
let's get together (one last time),tammy wynette,country,1964,night/time,38
dream a little dream of me,bing crosby,jazz,2004,romantic,76
a chicken ain't nothing but a bird,cab calloway,blues,1974,obscene,51
your song,rita ora,pop,2017,music,144
blue and green,the wood brothers,blues,2011,music,36
monkey girl,toots & the maytals,reggae,1993,music,40
the ghost in you,the psychedelic furs,pop,1980,sadness,76
everything is good about you,the supremes,pop,1966,world/life,68
and i love her,the beatles,rock,1964,romantic,7
darkness on the edge of town,bruce springsteen,rock,1978,violence,64
pda,interpol,pop,2002,night/time,91
a shot in the dark,a day to remember,pop,2008,sadness,67
sympathy for the devil,jane's addiction,blues,2012,violence,107
i'm broke,black joe lewis & the honeybears,blues,2009,obscene,57
finger on the trigger,bleu edmondson,country,2007,obscene,62
every beat of my heart,rod stewart,rock,1986,sadness,77
playin' the outlaw,krokus,blues,1982,obscene,77
hummin' happy,strawberry alarm clock,pop,1967,violence,42
running,tessellated,reggae,2017,obscene,158
let her cry,the charlie daniels band,country,2005,sadness,79
tooth and nail,dokken,rock,1984,sadness,75
sensi,slightly stoopid,reggae,2008,violence,92
hurt me all the time,joe diffie,country,1990,sadness,45
three nights a week,fats domino,pop,1960,night/time,36
when the feeling goes away,the movement,reggae,2012,feelings,90
are you still my baby,charlie rich,country,1964,obscene,153
reggae sounds,linton kwesi johnson,reggae,1980,violence,64
hangin' on to the good times,little feat,country,1988,night/time,125
so lonely,the police,rock,1978,sadness,36
lover,ella fitzgerald,blues,1956,romantic,47
missed connection,the head and the heart,rock,2019,violence,137
world in changes,dave mason,country,1970,world/life,53
rotten to the core,dove cameron,pop,2015,violence,83
is yours is mine,gene clark,country,1967,sadness,22
absolutely,ra ra riot,rock,2016,romantic,122
blue,joni mitchell,pop,1971,music,43
march of the poozers,devin townsend project,jazz,2014,violence,67
before it's too late,the goo goo dolls,rock,2007,violence,47
you can't fall up (you just fall down),tower of power,jazz,1991,sadness,56
sinbad,weldon irvine,jazz,1976,night/time,13
everything will be alright,j.j. cale,blues,1972,night/time,25
lovers never say goodbye,the flamingos,blues,2003,romantic,24
baby bubba,timbaland & magoo,hip hop,2015,obscene,50
if i'm lucky,julie london,jazz,1958,world/life,35
love can move mountains,céline dion,pop,1999,world/life,125
i see a different you,koop,jazz,2007,sadness,26
my darling is gone,ritchie valens,pop,1959,sadness,49
